id,text,language,language_name,true_label,Qwen2.5_t0.0_pred,Qwen2.5_t0.0_conf,Qwen2.5_t0.0_error,Qwen2.5_t0.5_pred,Qwen2.5_t0.5_conf,Qwen2.5_t0.5_error,Qwen2.5_t1.0_pred,Qwen2.5_t1.0_conf,Qwen2.5_t1.0_error,Qwen2.5_majority,Qwen2.5_var_confidence,Qwen2.5_uncertain,Qwen2.5_avg_confidence
zho_e59ce789a1d83d91cb7d362efaa3bf23,好久都没有见过那么干净的白人班级了，一个黑乐色都没有,zho,Chinese,1,1,0.9,,1.0,0.9,,1.0,0.95,,1,1.0,False,0.9166666666666666
zho_ea3ef5567698fc40fa631baf7f697a16,楼主这讽刺太有力度把跪虫族和国际鬼子虫类及其它们后代虫混描写淋漓尽致,zho,Chinese,1,1,0.95,,1.0,0.95,,1.0,0.9,,1,1.0,False,0.9333333333333332
zho_b73779673957f6dab5688c27a6747458,你这样说让那些标榜找个外国对象倍有面的人还怎么装b�,zho,Chinese,1,1,0.75,,1.0,0.75,,1.0,0.75,,1,1.0,False,0.75
zho_f7164a14baafbcb6ec387b0217a1c766,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,zho,Chinese,1,0,0.7,,0.0,0.7,,1.0,0.75,,0,0.6666666666666666,True,0.7166666666666667
zho_1be506c572b805494787f548671a5bb7,基佬还说之前视频里的不是它，它都说照片是它爆出来的了。,zho,Chinese,1,0,0.8,,0.0,0.85,,0.0,0.95,,0,1.0,False,0.8666666666666666
zho_33bdf0afd970adb37e3d6a5269ef7cf5,盗版真是恶心，我从来都不黑人的，都想黑了,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.6999999999999998
zho_34079348a6559446c580bd538abc4507,别的不说，我在知乎骂黑人被小黑屋，删评论好多次了，,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_d9a2d81c9768a4611bc5f723b04e2fba,白种人于黄种人之间的战争建议修改成西方强盗和东亚人民的战争。写的很好 赞了,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_4957b7ae1d892ec97a7effa0bc3ab20a,所谓我吃的盐比你吃的饭还多这句话真的很映衬他们,zho,Chinese,1,0,0.9,,0.0,0.9,,0.0,0.9,,0,1.0,False,0.9
zho_e5d3c445a681d2eb70edd5fdff19b362,是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.9,,1,1.0,False,0.8666666666666667
zho_fda85e7cc47d5110ef4c8c1de32b9ad0,所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,zho,Chinese,1,0,0.9,,0.0,0.9,,0.0,0.85,,0,1.0,False,0.8833333333333333
zho_ad34ab38ecfd844214c0fda2135c2dbc,其实我觉得台湾挺落后的，表面上明国和外国那一套多，人挺落后。,zho,Chinese,1,0,0.7,,0.0,0.6,,1.0,0.7,,0,0.6666666666666666,True,0.6666666666666666
zho_4e20de2b89fb4173b604a506e5002aa3,感谢的太早了吧！多希望莆田的欧某死之前知道人间是有温度的。,zho,Chinese,1,1,0.85,,1.0,0.8,,1.0,0.8,,1,1.0,False,0.8166666666666668
zho_3d06c710b1d5f0f2776ca6f7063f91e0,畒�乱叫而已，不用搭理牠，毕竟听不懂人话，jb口球就行了[表情],zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_83bb2bb484ba64207f8630ae876e8001,这波自杀真亏，为啥没把那个评论区的那几个女权们带走。,zho,Chinese,1,1,0.95,,1.0,0.9,,1.0,0.9,,1,1.0,False,0.9166666666666666
zho_81955fe5f6115b68cc0b635af6b600ce,摩洛哥不知什么人种，好像穆斯林吧，从摩洛哥带了混血宝宝回来，唉，不知道她后面还能找到老公么,zho,Chinese,1,0,0.7,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.7666666666666666
zho_315eccacdf16b27d2f54e353e27a1670,这个西藏画的太无耻了。美国很多有驻军的地方都不算国土。西藏口头认个大哥就可以无耻的算成疆域内了？,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_c72868e1ba395995905e01d050e94c7a,你这不是地域黑，你这是赤裸裸的地域黑嘻嘻嘻，我四川男人那么多让您如此说也是无语了,zho,Chinese,1,1,0.7,,1.0,0.8,,1.0,0.7,,1,1.0,False,0.7333333333333334
zho_5ed5100ffb3fca61b709f3b090f83497,现在网络上有多少人都宣传自己为男性考虑，会独立思考，结果看到小作文就脑子都不要了。,zho,Chinese,1,1,0.75,,1.0,0.75,,1.0,0.7,,1,1.0,False,0.7333333333333334
zho_a6e672af7e827b3896546041278ceecd,说的很对。但是吃屎的也不能要吃尿的强行认同吧！,zho,Chinese,1,1,0.9,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.8666666666666667
zho_0f46cb6ae581d1b70bcf57c755e000ce,世界最早大规模贩卖黑人的是中世纪的阿拉伯人一一北部非洲被阿拉伯骑兵武装挨家挨户屠杀殆尽！所以现代埃及利比亚等北非国家都是阿拉伯人种，伊斯兰世界！！,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.8,,1,1.0,False,0.8333333333333334
zho_92040d61e3def914f52d53755baed5ad,我不反对种族歧视，我反对中国人被歧视，所有的政治正确不过是利益在驱动罢了,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_6eb515316b1e222c993868f0d6df916e,我看抖音，有个男的在非洲有了好几个黑小孩。底下的评论让他多下点种�,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
